seed,model_year_index,model_day,month,day_in_month,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_total_mm,sunshine_equivalent_hours,humidity_pct,wind_m_s,snow_cover_day,ice_day,frost_day,summer_day,heat_day,precip_day_ge_1mm,precip_day_ge_5mm,precip_day_ge_10mm,precip_day_ge_50mm
3263,0,38,2,8,0.47137499999999993,3.703,-2.466,20.581,1.482,86.10691666666666,2.2890833333333336,True,False,True,False,False,True,True,True,False
3263,0,39,2,9,-0.2995,3.916,-4.965,12.677999999999999,0.844,86.35525,2.2284166666666665,True,False,True,False,False,True,True,True,False
3263,0,40,2,10,1.1062916666666667,5.076,-2.445,0.0,4.498,79.919,2.0660000000000003,True,False,True,False,False,False,False,False,False
3263,0,41,2,11,0.1533333333333333,4.009,-5.36,0.0,4.545,80.21333333333334,2.1652083333333336,True,False,True,False,False,False,False,False,False
3263,0,42,2,12,-0.0013333333333333068,3.2,-4.972,8.348,2.073,82.42762499999999,1.979125,True,False,True,False,False,True,True,False,False
3263,0,43,2,13,-0.42495833333333327,4.28,-3.945,1.545,2.785,79.73225000000001,2.1626666666666665,False,False,True,False,False,True,False,False,False
3263,0,44,2,14,0.982875,6.511,-4.132,0.0,1.455,78.662125,2.1032083333333333,False,False,True,False,False,False,False,False,False
3263,0,45,2,15,1.3711666666666666,4.896,-1.846,0.0,3.013,77.37975,2.0907916666666666,False,False,True,False,False,False,False,False,False
3263,0,46,2,16,0.8989583333333333,4.682,-3.333,0.0,4.018,80.345,1.8550833333333332,False,False,True,False,False,False,False,False,False
3263,0,47,2,17,0.9724583333333333,4.504,-2.55,0.0,3.066,79.65474999999999,1.6806666666666665,False,False,True,False,False,False,False,False,False
3263,0,48,2,18,-0.9553333333333334,2.274,-3.807,0.0,4.8,79.79554166666667,2.028,False,False,True,False,False,False,False,False,False
3263,0,49,2,19,-0.140875,2.26,-2.18,24.092,1.845,84.93270833333334,2.6007916666666664,True,False,True,False,False,True,True,True,False
3263,0,50,2,20,-1.1847083333333333,2.071,-5.668,0.797,2.032,80.33995833333333,2.0788333333333333,True,False,True,False,False,False,False,False,False
3263,0,51,2,21,0.9458333333333333,4.243,-2.24,0.0,4.2,80.45108333333333,1.793375,False,False,True,False,False,False,False,False,False
3263,0,52,2,22,2.2762083333333334,6.316,-1.898,0.0,1.778,79.68195833333333,2.277458333333333,False,False,True,False,False,False,False,False,False
3263,0,53,2,23,1.4818749999999998,6.943,-3.785,0.0,3.685,78.16166666666666,2.1693333333333333,False,False,True,False,False,False,False,False,False
3263,0,54,2,24,1.2488333333333335,6.103,-3.127,0.0,1.028,79.62837499999999,1.8458750000000002,False,False,True,False,False,False,False,False,False
3263,0,55,2,25,0.3915,4.225,-3.566,3.6189999999999998,2.743,80.791375,2.0628333333333333,False,False,True,False,False,True,False,False,False
3263,0,56,2,26,2.377,7.233,-2.236,0.0,1.804,78.52595833333334,1.9563750000000002,False,False,True,False,False,False,False,False,False
3263,0,57,2,27,3.1342499999999998,6.528,0.705,0.0,0.877,76.65933333333334,1.9737083333333334,False,False,False,False,False,False,False,False,False
3263,0,58,2,28,-0.19716666666666668,3.776,-3.305,11.792,3.23,82.88420833333333,1.7814166666666669,True,False,True,False,False,True,True,True,False
3263,0,59,2,29,-0.7616666666666667,2.562,-3.518,6.107,4.033,82.86729166666667,1.6595833333333332,True,False,True,False,False,True,True,False,False
3263,0,60,2,30,1.0727916666666666,6.446,-2.545,8.106000000000002,2.87,81.13095833333334,2.3202916666666664,True,False,True,False,False,True,True,False,False
3263,0,61,3,1,5.354500000000001,9.682,0.479,0.0,2.438,71.70479166666667,1.8815833333333334,True,False,False,False,False,False,False,False,False
