step,t,month,hour,action,action_name,delta_hours,temp,precip_mm,wet,sun_frac,humidity,wind,snow_cover_flag,feels_like,lat,lon,current_node,poi_category,poi_name,target_node,mode,distance_m,travel_time_min
57,58,3,10,0,stay,1,8.040235962448428,0.0,0,0.6573066934441821,63.551400012066225,2.253224405471766,0,6.693456022869641,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
58,59,3,11,0,stay,1,9.159160552298795,0.0,0,0.6508909922821304,67.76803723097748,2.715635161501896,0,7.6807538335652685,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
59,60,3,12,0,stay,1,10.854081549997037,0.0,0,0.6676188529500645,62.74639158828258,1.6757994900325222,0,10.854081549997037,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
60,61,3,13,0,stay,1,12.02062631337883,0.0,0,0.6655624474426795,63.46505655078824,1.595183832316907,0,12.02062631337883,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
61,62,3,14,0,stay,1,11.218732217960927,0.0,0,0.581699929684557,58.03803307586707,2.9117718495976415,0,11.218732217960927,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
62,63,3,15,0,stay,1,11.36849131223138,0.0,0,0.5317876508547141,62.127440243358784,2.78498871533033,0,11.36849131223138,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
63,64,3,16,0,stay,1,9.404685344071824,0.0,0,0.3810439994668775,54.96044490708707,2.482025834683172,0,8.130588266863946,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
64,65,3,17,0,stay,1,9.545417618155854,0.0,0,0.18929178416324124,64.75703340302373,1.9726806871503606,0,8.685514671599387,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
65,66,3,18,0,stay,1,7.7142853016605795,0.0,0,0.09785673942607487,65.75014827468499,3.435899234872342,0,5.499514108171759,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
66,67,3,19,0,stay,1,6.911918754588227,0.0,0,0.0,67.83179168827101,2.5758911049807924,0,5.10645627993205,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
67,68,3,20,0,stay,1,4.915709481807475,0.0,0,0.0,69.37928974278256,2.8565205653806856,0,2.5121357217360045,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
68,69,3,21,0,stay,1,5.978546467720241,0.0,0,0.0,72.124361262644,3.113004499868155,0,3.6031366010883263,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
69,70,3,22,0,stay,1,3.821991161678584,0.0,0,0.0,75.36975081345881,1.648112607598062,0,2.407747256257377,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
70,71,3,23,0,stay,1,1.8059651960830732,0.0,0,0.0,82.48097242620369,4.151380221428987,0,-2.162114336530912,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
71,72,3,0,0,stay,1,0.7622001459623511,0.0,0,0.0,75.89233928076514,3.912186175511299,0,-3.287076245312522,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
72,73,3,1,0,stay,1,0.49845224906845387,0.0,0,0.0,76.26663714290375,3.280042494130732,0,-3.1365474875434884,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
73,74,3,2,0,stay,1,-0.18068341327686666,0.0,0,0.0,84.47963026997229,1.3447821361802812,0,-1.7015069128150035,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
74,75,3,3,0,stay,1,1.2204878244581288,0.0,0,0.0,87.57339888791476,2.064323627585828,0,-1.1100354498530527,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
75,76,3,4,0,stay,1,1.312036595889044,0.0,0,0.0,92.8295907046055,2.1290259336504813,0,-1.0771269705921032,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
76,77,3,5,0,stay,1,1.5955431281060228,0.0,0,0.0,88.53851137907446,3.890148547574249,0,-2.2502813179524157,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
77,78,3,6,0,stay,1,3.171688169518189,0.0,0,0.0,76.30409065592217,2.647763823627447,0,0.6021578640487293,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
78,79,3,7,0,stay,1,4.4652412800103916,0.0,0,0.18364946859495052,83.09445098367647,1.3306669226335535,0,4.4652412800103916,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
79,80,3,8,0,stay,1,4.569725591782337,0.0,0,0.4276001715328702,72.9015228086985,3.1929958514292354,0,1.8487886009286965,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
80,81,3,9,0,stay,1,6.172238556819072,0.0,0,0.5839295155666414,73.22181297525756,1.6520628362094099,0,5.1018599878511655,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
81,82,3,10,0,stay,1,7.2053590619340016,0.0,0,0.7330525156382313,71.79261673296737,2.5390781094573023,0,5.48279559982151,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
82,83,3,11,0,stay,1,7.261591596775022,0.0,0,0.8769222320423239,65.28725350248095,1.8369389797477722,0,6.159725337852456,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
83,84,3,12,0,stay,1,8.733200093691153,0.0,0,0.9617028556702685,67.10030584144253,3.6427507694069026,0,6.6253599709983,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
84,85,3,13,0,stay,1,7.920011915120696,0.0,0,0.8624215497919706,64.24331346332667,2.5765645444618483,0,6.302829721845337,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
85,86,3,14,0,stay,1,8.889045577847783,0.0,0,0.8073484424942008,56.56529596236079,2.3507284019964434,0,7.616495384765851,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
86,87,3,15,0,stay,1,8.048965932940742,0.0,0,0.6650710878786316,63.7307208828099,1.8313854448958569,0,7.076438923214734,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
87,88,3,16,0,stay,1,8.44439013294559,0.0,0,0.48718708993163334,63.48525485999016,1.5568572677750272,0,7.812091612978141,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
88,89,3,17,0,stay,1,7.661163277747207,0.0,0,0.321855187935344,70.55612832128398,2.4436138088475254,0,6.09588687209597,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
89,90,3,18,0,stay,1,7.620025840564089,0.0,0,0.0028228329039123624,61.24143635803684,3.461292594159697,0,5.370379490735873,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
90,91,3,19,0,stay,1,5.042295413839211,0.0,0,0.0,65.4668626524062,2.870687394266162,0,2.6528535328158713,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
91,92,3,20,0,stay,1,5.1880471634783625,0.0,0,0.0,72.56731400193081,2.3577627110508086,0,3.2466203278643726,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
92,93,3,21,0,stay,1,0.4417467012379803,1.7983475711189265,1,0.0,83.19660108156081,2.9741114517179987,0,-2.94701216013642,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
93,94,3,22,0,stay,1,-0.7224571376183633,0.6004394001973932,1,0.0,87.87035668361071,3.239563808597984,0,-4.578990357694251,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
94,95,3,23,0,stay,1,-1.1854176640940097,1.9627688711778803,1,0.0,86.6058871046032,1.1045186924560881,0,-1.1854176640940097,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
95,96,3,0,0,stay,1,-2.405749597429587,1.2412917392792575,1,0.0,93.18635537476368,0.5265000572718971,0,-2.405749597429587,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
96,97,3,1,0,stay,1,-3.0049488002643585,3.0717936426914907,1,0.0,91.51322531980018,4.019817156019238,1,-7.9904337444824405,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
97,98,3,2,0,stay,1,-2.5730056590251325,1.5078907926855376,1,0.0,97.08081012864088,3.156618590110078,1,-6.739215562700625,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
98,99,3,3,0,stay,1,-2.408620443180882,0.5101162077344117,1,0.0,92.7070396506639,0.9049897958592802,1,-2.408620443180882,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
99,100,3,4,0,stay,1,-2.4537054131281044,0.21557617767338966,1,0.0,97.15563610372448,1.908542676947782,1,-5.187794863445493,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
100,101,3,5,0,stay,1,-2.4088102522947983,1.2013082440206468,1,0.0,86.31488623622462,2.669179939501017,1,-6.060041178529458,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
101,102,3,6,0,stay,1,-1.3894692940911308,0.739188423976491,1,0.0,90.69230541130291,2.2139042361462646,1,-4.342156069547922,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
102,103,3,7,0,stay,1,1.2899574331195574,0.0,0,0.1560774717446149,80.94119590229784,3.223227963827723,1,-2.13420580891629,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
103,104,3,8,0,stay,1,1.942814002893905,0.0,0,0.3434914464682829,86.38254162267049,1.481565851650351,1,0.4880249408055843,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
104,105,3,9,0,stay,1,2.776342052759027,0.0,0,0.45041933542827384,74.76721981020108,2.324790770402619,1,0.43501209812936914,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
105,106,3,10,0,stay,1,6.1518378283624395,0.0,0,0.5060756342288963,65.03613236806935,3.70593191003346,1,3.440240568318637,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
106,107,3,11,0,stay,1,7.443624017216177,0.0,0,0.6144672499442123,75.77814366008484,2.28294150811982,1,5.967595060572341,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
107,108,3,12,0,stay,1,8.765009929757504,0.0,0,0.6377296198322522,68.51120792586327,1.947796801626008,1,7.799329171347706,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
108,109,3,13,0,stay,1,9.716077464226966,0.0,0,0.5959374932774988,71.39025922871305,2.764368922089684,1,8.313793926806778,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
109,110,3,14,0,stay,1,10.918368670253956,0.0,0,0.5106958602885128,60.95556756160242,1.8139724982588645,1,10.918368670253956,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
110,111,3,15,0,stay,1,11.06150294038146,0.0,0,0.3969142119706043,64.89327470420925,2.70814945623561,1,11.06150294038146,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
111,112,3,16,0,stay,1,10.219109549235734,0.0,0,0.3686786241148975,67.70450133380801,0.7113967341716894,0,10.219109549235734,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
112,113,3,17,0,stay,1,10.36497425690149,0.0,0,0.10555532323755698,56.10537414061814,1.5048401582566693,0,10.36497425690149,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
113,114,3,18,0,stay,1,9.465358471093142,0.0,0,0.027219599870031277,65.29254829644844,3.518864423070357,0,7.581676185746614,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
114,115,3,19,0,stay,1,8.010243720852474,0.0,0,0.0,62.42216790439838,1.4723715056296807,0,7.411550754793726,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
115,116,3,20,0,stay,1,7.77689984513413,0.0,0,0.0,61.24919294295872,1.7804930752439538,0,6.811984765609264,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
116,117,3,21,0,stay,1,7.419651226486478,0.0,0,0.0,65.65289150194026,2.051095373148791,0,6.1398337234319165,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
117,118,3,22,0,stay,1,6.817641187143138,0.0,0,0.0,74.14197615355366,2.1523873218352056,0,5.344945060561431,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
118,119,3,23,0,stay,1,4.605296392133713,0.0,0,0.0,79.50172421311922,0.3402599771263135,0,4.605296392133713,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
119,120,3,23,0,stay,1,4.605296392133713,0.0,0,0.0,79.50172421311922,0.3402599771263135,0,4.605296392133713,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
