timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-06-19T14:28:02,pa-simulation,e437c24e-577c-475f-8e60-2962adfda196,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,19.52327880007215,3.4094619869375063e-06,1.7463572701348237e-07,9.5866408987125,0.0,10.0,4.644482829724786e-05,0.0,5.140730805546304e-05,9.78521363527109e-05,0.0,Switzerland,CHE,bern,,,Windows-11-10.0.26200-SP0,3.12.10,3.2.8,8,Intel(R) Core(TM) i5-1035G4 CPU @ 1.10GHz,0,,7.4531,46.9454,7.595596313476562,machine,17.647058823529413,0.0,86.82352941176471,6.594799939323874,N,1.0,0.0
2026-06-19T14:36:02,pa-simulation,877d07f2-6856-43a0-84a0-a0ba1c1d85e6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,198.208046499989,2.845803556984344e-05,1.4357659072052366e-07,5.349949405932589,0.0,10.0,0.0002857951324586,0.0,0.0005309553072234,0.0008167504396821,0.0,Switzerland,CHE,bern,,,Windows-11-10.0.26200-SP0,3.12.10,3.2.8,8,Intel(R) Core(TM) i5-1035G4 CPU @ 1.10GHz,0,,7.4531,46.9454,7.595596313476562,machine,16.537628865979382,0.0,86.34845360824741,6.558414183941084,N,1.0,0.0
2026-06-25T15:04:50,pa-simulation,6baf98e0-97cf-407f-a1cf-359ef00b3436,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,563.2825711000005,0.0002660824789378132,4.7237832766278705e-07,9.08914864198635,30.365660672417825,10.0,0.0013752649322623818,0.004749779355375988,0.0015115679138888586,0.007636612201527226,0.0,Switzerland,CHE,bern,,,Windows-10-10.0.26200-SP0,3.11.9,3.2.8,12,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,1,1 x NVIDIA GeForce GTX 1070,7.4531,46.9454,15.88235092163086,machine,1.3853832442067737,2.8823529411764706,81.80445632798579,12.992812314772989,N,1.0,0.0
