variable,pearson_r,mae,rmse,mean_bias_sim_minus_ref
frost_days,0.9901925585116721,3.0229740768277775,4.345264150080384,2.006529632383333
heat_days,0.8818166465910174,0.3420000000000001,0.7592298729633865,-0.3420000000000001
humidity_pct,0.9999396758844654,0.7343405879629626,0.7385464437522179,0.7343405879629626
ice_days,,1.5666666666666667,2.9908192857476363,-1.5666666666666667
precip_days_ge_10mm,0.8787739982578083,0.6697740742888886,0.7703958292376218,0.6697740742888886
precip_days_ge_1mm,0.6975891985747926,0.768774073344444,0.9408914387633672,-0.2709962955666663
precip_days_ge_50mm,0.5371969623028073,0.026333333333333337,0.04442971978304613,-0.01966666666666667
precip_days_ge_5mm,0.8321997847258412,1.0361703708222219,1.1956309137881158,1.0351703708222217
precipitation_total_mm,0.9139742677475478,11.276301943170106,12.988202661784415,10.370897165392327
snow_cover_days,0.9600728748055588,0.7229999993888888,1.3453101795430205,0.2620000006111111
summer_days,0.963023796460721,1.6898333333333333,2.825382642063562,0.30994444444444436
sunshine_hours,0.9999647250772686,1.8650611947516562,2.163544826285083,1.8183073058627695
sunshine_pct,0.9995462784145512,2.6429670544035404,2.841459655971636,-2.6429670544035404
temperature_daily_max_mean_c,0.999167302823596,0.7897573888888888,0.9763852623752153,0.7565768333333334
temperature_daily_min_mean_c,0.9984075942155745,1.128156777777778,1.3141696575768684,-1.128156777777778
temperature_mean_c,0.9999846614926234,0.07619977083333294,0.08609163755782837,-0.07619977083333294
wind_m_s,0.999796770715488,0.06932911574074076,0.06944345074613029,0.06932911574074076
