base_seed,agent_a_id,agent_b_id,matching_slots,differing_slots,total_slots,similarity,similarity_percent,difference,difference_percent
3263,base3263_StudentPersona_01,base3263_StudentPersona_02,144,24,168,0.8571428571428571,85.71428571428571,0.1428571428571429,14.28571428571429
3263,base3263_StudentPersona_01,base3263_StudentPersona_03,157,11,168,0.9345238095238095,93.45238095238095,0.06547619047619047,6.547619047619047
3263,base3263_StudentPersona_01,base3263_StudentPersona_04,143,25,168,0.8511904761904762,85.11904761904762,0.14880952380952384,14.880952380952383
3263,base3263_StudentPersona_01,base3263_StudentPersona_05,156,12,168,0.9285714285714286,92.85714285714286,0.0714285714285714,7.14285714285714
3263,base3263_StudentPersona_01,base3263_StudentPersona_06,137,31,168,0.8154761904761905,81.54761904761905,0.18452380952380953,18.452380952380953
3263,base3263_StudentPersona_01,base3263_StudentPersona_07,151,17,168,0.8988095238095238,89.88095238095238,0.10119047619047616,10.119047619047617
3263,base3263_StudentPersona_01,base3263_StudentPersona_08,148,20,168,0.8809523809523809,88.09523809523809,0.11904761904761907,11.904761904761907
3263,base3263_StudentPersona_01,base3263_StudentPersona_09,150,18,168,0.8928571428571429,89.28571428571429,0.1071428571428571,10.71428571428571
3263,base3263_StudentPersona_01,base3263_StudentPersona_10,151,17,168,0.8988095238095238,89.88095238095238,0.10119047619047616,10.119047619047617
3263,base3263_StudentPersona_02,base3263_StudentPersona_03,140,28,168,0.8333333333333334,83.33333333333334,0.16666666666666663,16.666666666666664
3263,base3263_StudentPersona_02,base3263_StudentPersona_04,143,25,168,0.8511904761904762,85.11904761904762,0.14880952380952384,14.880952380952383
3263,base3263_StudentPersona_02,base3263_StudentPersona_05,139,29,168,0.8273809523809523,82.73809523809523,0.17261904761904767,17.261904761904766
3263,base3263_StudentPersona_02,base3263_StudentPersona_06,143,25,168,0.8511904761904762,85.11904761904762,0.14880952380952384,14.880952380952383
3263,base3263_StudentPersona_02,base3263_StudentPersona_07,147,21,168,0.875,87.5,0.125,12.5
3263,base3263_StudentPersona_02,base3263_StudentPersona_08,158,10,168,0.9404761904761905,94.04761904761905,0.059523809523809534,5.952380952380953
3263,base3263_StudentPersona_02,base3263_StudentPersona_09,147,21,168,0.875,87.5,0.125,12.5
3263,base3263_StudentPersona_02,base3263_StudentPersona_10,149,19,168,0.8869047619047619,88.69047619047619,0.11309523809523814,11.309523809523814
3263,base3263_StudentPersona_03,base3263_StudentPersona_04,148,20,168,0.8809523809523809,88.09523809523809,0.11904761904761907,11.904761904761907
3263,base3263_StudentPersona_03,base3263_StudentPersona_05,156,12,168,0.9285714285714286,92.85714285714286,0.0714285714285714,7.14285714285714
3263,base3263_StudentPersona_03,base3263_StudentPersona_06,143,25,168,0.8511904761904762,85.11904761904762,0.14880952380952384,14.880952380952383
3263,base3263_StudentPersona_03,base3263_StudentPersona_07,153,15,168,0.9107142857142857,91.07142857142857,0.0892857142857143,8.92857142857143
3263,base3263_StudentPersona_03,base3263_StudentPersona_08,148,20,168,0.8809523809523809,88.09523809523809,0.11904761904761907,11.904761904761907
3263,base3263_StudentPersona_03,base3263_StudentPersona_09,149,19,168,0.8869047619047619,88.69047619047619,0.11309523809523814,11.309523809523814
3263,base3263_StudentPersona_03,base3263_StudentPersona_10,143,25,168,0.8511904761904762,85.11904761904762,0.14880952380952384,14.880952380952383
3263,base3263_StudentPersona_04,base3263_StudentPersona_05,145,23,168,0.8630952380952381,86.30952380952381,0.13690476190476186,13.690476190476186
3263,base3263_StudentPersona_04,base3263_StudentPersona_06,152,16,168,0.9047619047619048,90.47619047619048,0.09523809523809523,9.523809523809524
3263,base3263_StudentPersona_04,base3263_StudentPersona_07,148,20,168,0.8809523809523809,88.09523809523809,0.11904761904761907,11.904761904761907
3263,base3263_StudentPersona_04,base3263_StudentPersona_08,148,20,168,0.8809523809523809,88.09523809523809,0.11904761904761907,11.904761904761907
3263,base3263_StudentPersona_04,base3263_StudentPersona_09,138,30,168,0.8214285714285714,82.14285714285714,0.1785714285714286,17.85714285714286
3263,base3263_StudentPersona_04,base3263_StudentPersona_10,139,29,168,0.8273809523809523,82.73809523809523,0.17261904761904767,17.261904761904766
3263,base3263_StudentPersona_05,base3263_StudentPersona_06,141,27,168,0.8392857142857143,83.92857142857143,0.1607142857142857,16.07142857142857
3263,base3263_StudentPersona_05,base3263_StudentPersona_07,150,18,168,0.8928571428571429,89.28571428571429,0.1071428571428571,10.71428571428571
3263,base3263_StudentPersona_05,base3263_StudentPersona_08,146,22,168,0.8690476190476191,86.90476190476191,0.13095238095238093,13.095238095238093
3263,base3263_StudentPersona_05,base3263_StudentPersona_09,148,20,168,0.8809523809523809,88.09523809523809,0.11904761904761907,11.904761904761907
3263,base3263_StudentPersona_05,base3263_StudentPersona_10,149,19,168,0.8869047619047619,88.69047619047619,0.11309523809523814,11.309523809523814
3263,base3263_StudentPersona_06,base3263_StudentPersona_07,146,22,168,0.8690476190476191,86.90476190476191,0.13095238095238093,13.095238095238093
3263,base3263_StudentPersona_06,base3263_StudentPersona_08,139,29,168,0.8273809523809523,82.73809523809523,0.17261904761904767,17.261904761904766
3263,base3263_StudentPersona_06,base3263_StudentPersona_09,146,22,168,0.8690476190476191,86.90476190476191,0.13095238095238093,13.095238095238093
3263,base3263_StudentPersona_06,base3263_StudentPersona_10,137,31,168,0.8154761904761905,81.54761904761905,0.18452380952380953,18.452380952380953
3263,base3263_StudentPersona_07,base3263_StudentPersona_08,149,19,168,0.8869047619047619,88.69047619047619,0.11309523809523814,11.309523809523814
