persona_id,day_index,calendar_date,construct,value_before,value_after,delta,decision_label,activity_done
StudentPersona_01,4,2026-01-05,motivational_competence,0.878,0.898,0.020000000000000018,do_planned_activity,True
StudentPersona_01,4,2026-01-05,pa_specific_self_control,0.883,0.903,0.020000000000000018,do_planned_activity,True
StudentPersona_01,4,2026-01-05,perceived_behavioral_control,1.0,1.0,0.0,do_planned_activity,True
StudentPersona_01,4,2026-01-05,perceived_choice,0.816,0.836,0.020000000000000018,do_planned_activity,True
StudentPersona_01,4,2026-01-05,perceived_competence,0.869,0.889,0.020000000000000018,do_planned_activity,True
StudentPersona_01,4,2026-01-05,pressure_tension,0.252,0.232,-0.01999999999999999,do_planned_activity,True
StudentPersona_01,4,2026-01-05,subjective_norm,0.849,0.869,0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,action_planning,0.774,0.794,0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,attitude_toward_the_behavior,1.0,1.0,0.0,do_planned_activity,True
StudentPersona_01,5,2026-01-06,automaticity,0.324,0.344,0.019999999999999962,do_planned_activity,True
StudentPersona_01,5,2026-01-06,intention,0.897,0.917,0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,interest_enjoyment,0.943,0.963,0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,motivational_competence,0.898,0.918,0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,pa_specific_self_control,0.903,0.923,0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,perceived_behavioral_control,1.0,1.0,0.0,do_planned_activity,True
StudentPersona_01,5,2026-01-06,perceived_choice,0.836,0.856,0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,perceived_competence,0.889,0.909,0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,pressure_tension,0.232,0.212,-0.020000000000000018,do_planned_activity,True
StudentPersona_01,5,2026-01-06,subjective_norm,0.869,0.889,0.020000000000000018,do_planned_activity,True
