"participant_id","cluster_k2","silhouette_k2","cluster_k3","silhouette_k3","cluster_k4","silhouette_k4","cluster_k5","silhouette_k5","cluster_k6","silhouette_k6","cluster_k7","silhouette_k7","cluster_k8","silhouette_k8"
"679",1,0.420704017639948,1,0.518007348812889,1,0.535384140928433,1,0.347320487405283,1,0.360211637394144,1,0.436568612836913,1,0.398933726720169
"1119",1,0.403631588954719,1,0.502221807198736,1,0.530744910355171,2,-0.083282769859081,2,-0.119414561334056,1,0.360254525205453,1,0.242573905271589
"1353",1,0.395106871822671,1,0.509884512731127,1,0.526397593557561,1,0.205839686714481,1,0.238915616105168,1,0.496752679165783,1,0.431195797600908
"1584",1,0.320885999761107,1,0.359677776394035,1,0.386167864720988,1,0.184090885617845,1,0.184027266544661,2,0.313243188520326,2,0.297095288726721
"4511",1,0.403737811520306,1,0.482941323205368,1,0.497714299857391,1,0.380535258328954,1,0.38371901490252,1,0.190802972916218,1,0.334944339193053
"4847",1,0.440332218401124,1,0.49047654425325,1,0.51490223988827,2,0.307353007656914,2,0.312959300745299,3,0.339543858230281,3,0.381163993356055
"5220",1,0.259558336319656,1,0.295997852838597,1,0.318010350184611,1,0.245525212281937,1,0.244469438535146,2,0.223008035465721,2,0.208991890722313
"5314",1,0.36351464480699,1,0.394141988557082,1,0.420774256928194,2,0.173923762192891,2,0.188075262533267,3,0.143189485859353,2,-0.206492817074508
"5360",1,0.35848985663506,1,0.409679703691067,1,0.409776562536243,1,0.344555575106557,1,0.344742375312389,1,0.163065248541369,1,0.274225517738782
"5747",1,0.0989347710502509,2,0.324527898090998,2,0.173835701196375,3,0.212044107099493,3,0.408517036581026,4,0.442863908425848,4,0.350903808442882
"6112",1,0.112485656775566,1,0.0941287085749032,1,0.0948292684162791,2,0.206468698533624,2,0.0572262646829661,3,0.120355120830447,5,0.277117627804184
"6752",1,0.0699169797713983,2,0.164095104215724,2,0.272890965981696,3,0.234478844775783,3,0.240224535248585,2,-0.130331957058723,2,-0.146648313361772
"6759",1,0.317704708620342,1,0.376949324681736,1,0.387712479803042,1,0.353666813645478,1,0.352460591785345,2,0.159089360221049,2,0.103548375008028
"6770",2,0.382012089238951,3,0.429967980103015,3,0.481431268809513,4,0.439260549828567,4,0.454201409500723,5,0.452570043945545,6,0.455686979973775
"6786",1,0.130639796224173,1,0.114903634435632,1,0.108172740309156,2,0.224237206174103,2,0.125821890069605,3,0.143212046988615,3,0.0732383056887632
"6834",1,0.335442083891511,1,0.441110224301664,1,0.474473244479147,1,0.28695371251018,1,0.308570373910462,1,0.47497533232623,1,0.432008632374147
"6861",1,0.43410563771147,1,0.528059403975032,1,0.544197481435562,2,0.0350831303949058,2,-0.0145689337614484,1,0.29727258965995,1,0.127713662299038
"6881",1,0.14027751172381,2,0.0915889366392373,2,0.202971669780402,3,0.130300129899494,2,-0.17436294830392,3,-0.115634317947509,4,0.143695138402273
