"iteration","adjusted_rand_index"
1,0.981838751385297
2,0.896716626815186
3,0.94049575445918
4,1
5,0.905230603540848
6,0.984876209557153
7,0.8963401810748
8,1
9,0.984471328375296
10,0.93917470400181
11,1
12,0.912965819855591
13,0.892754067871379
14,0.895500214185106
15,0.983866725120561
16,0.850808138389287
17,1
18,0.862429057888763
19,0.922245997818056
20,0.709284913965151
21,0.896354497660177
22,0.873941264951454
23,0.850238911667348
24,1
25,0.863870692784232
26,0.896031883419651
27,1
28,1
29,1
30,0.852826601020563
31,0.969238403343264
32,0.969653180318301
33,0.651744048320695
34,0.905731465235611
35,0.961214751961952
36,0.960805053724881
37,0.935530360834601
38,0.924533801034513
39,1
40,0.839065379030777
41,0.927157485121768
42,0.947537373333978
43,0.833681544043229
44,0.960647432157833
45,1
46,0.8876474349865
47,1
48,0.869936361856326
49,0.919074315787587
50,1
51,1
52,0.951534503803105
53,1
54,0.93571941903486
55,0.829281328068506
56,0.924172860928084
57,0.901239837169239
58,1
59,0.986612028219516
60,0.909241678064165
61,0.922325743971118
62,0.901280436159688
63,0.907412832518114
64,0.614981362776892
65,1
66,0.774170195389341
67,0.961364693453501
68,0.984239600430631
69,0.938396654092323
70,1
71,0.837419417059648
72,0.870825450611765
73,0.934022854630778
74,0.933803703491758
75,0.8914560125928
76,0.956718182264222
77,0.89981083652887
78,1
79,0.909097069340196
80,1
81,0.92959634820498
82,0.919642983436355
83,0.853758696271376
84,0.921243936778259
85,0.938519171441163
86,0.940333579098911
87,1
88,0.814659084172075
89,0.846586019351615
90,0.919239254254571
91,0.953090058023871
92,0.883594436267808
93,0.946842715287979
94,0.905143459984549
95,0.873371572294367
96,0.872835405981175
97,0.900686637442041
98,1
99,0.900686637442041
100,0.918389993597414
101,0.939207491901991
102,0.900959277093117
103,1
104,0.837493155282356
105,0.947461795588314
106,1
107,0.89996103776002
108,1
109,1
110,1
111,1
112,0.85918674167296
113,0.864120530831647
114,1
115,0.948258971270387
116,0.904003086283194
117,1
118,1
119,0.854452168856643
120,0.992964988071067
121,1
122,0.831898294891978
123,1
124,1
125,0.916545561810294
126,0.87609621512921
127,0.83276934495566
128,0.862950273030382
129,0.987341131428115
130,1
131,0.869766333693326
132,0.843835853911238
133,0.928773668377278
134,0.89983227969028
135,0.921920299199611
136,0.899276253704028
137,0.572129315407334
138,0.98727634767583
139,0.843340800211111
140,0.840637099922279
141,0.945963071880518
142,0.926181196933001
143,1
144,0.902876559977324
145,0.90118142178904
146,0.886948163778385
147,1
148,0.81052085985719
149,0.848048409356311
150,0.902055000821812
151,0.848360265683738
152,0.91023448019487
153,0.961977717998094
154,0.895295956659843
155,1
156,0.877116944176787
157,0.89789474501331
158,0.961292360608681
159,0.888161608938821
160,1
161,1
162,0.906671042425573
163,0.922099157144804
164,0.9257101655471
165,0.987235285526508
166,0.985856859769771
167,0.896738156565293
168,0.969099769610021
169,0.904946439579797
170,0.905880266315425
171,0.984177821286044
172,0.961882369360132
173,0.955015255695894
174,0.962126277390006
175,0.895006777469455
176,0.920473551389746
177,0.900866898860474
178,0.956448666300791
179,1
180,0.940031976846722
181,0.986651556758375
182,0.899276253704028
183,0.922245997818056
184,0.888187188626177
185,1
186,0.911929238284738
187,0.929363016505484
188,0.969433474404769
189,1
190,0.956158877979817
191,0.899976695215028
192,1
193,1
194,1
195,0.910192180653659
196,0.895334848648207
197,0.898759892340039
198,0.840344686551905
199,0.877975231548195
200,0.986485352534373
201,0.912338550554022
202,0.923163436370251
203,0.956718182264222
204,0.93855197949044
205,0.865759473869766
206,1
207,1
208,0.91129186854084
209,0.985465990811555
