"participant_id","time_point","consent","attention_check_flag","occupational_status","occupational_status_other","automaticity","pa_specific_self_control","action_planning","intention","perceived_behavioral_control","attitude","subjective_norm","intrinsic_motivation","motivational_competence","workload_hours_per_week","holiday_weeks","stress_weeks","care_work_hours_per_week","social_hours_per_week","pa_mvpa_hours_per_week","pa_total_hours_per_week","wake_time_minutes","work_start_time_minutes","work_end_time_minutes","bed_time_minutes","break_duration_minutes","leisure_duration_minutes","workplace_distance_km","indoor_activity_distance_km","outdoor_activity_distance_km","residential_sealing","residential_nature_access","residential_active_routes","residence_size_ordinal","age_years","income_ordinal","household_size","household_minors","normal_weeks_raw","phase_weeks_compatible"
"7510",1,"Ja",0,"Studium",,0.458333333333333,0.5,0.35,0.388888888888889,0.375,0.566666666666667,0.444444444444444,0.5,0.5625,40,24,9,0,59,32.6666666666667,32.6666666666667,420,525,890,1320,90,450,5,3,1,3,2,4,4,23.1572174651088,2,4,0,19,TRUE
"7522",1,"Ja",0,"Angestellt",,0.166666666666667,0.5,0.25,0.666666666666667,0.666666666666667,0.633333333333333,0.583333333333333,0.666666666666667,0.625,40,6,10,0,15,1,5.5,450,510,1050,1350,60,300,5,3,1,2,3,3,4,26.7274482022218,6,5,0,36,TRUE
"7527",1,"Ja",0,"Sonstiges","Werkstudentin",0,0.5,0.05,0.666666666666667,0.791666666666667,0.933333333333333,0.611111111111111,0.583333333333333,0.5,40,5,16,2,12,1.58333333333333,2.08333333333333,440,510,1020,1410,30,240,60,1,0.6,1,2,1,4,39.9460632319623,8,1,0,31,TRUE
"7530",1,"Ja",0,"Arbeitslos",,0,0,0,0.333333333333333,1,0.8,0.333333333333333,0.333333333333333,0,0,0,0,0,21,0,0,600,720,1140,1320,0,600,0,5,0.2,1,1,1,5,27.2339609985147,3,2,1,52,TRUE
"7546",1,"Ja",0,"Selbständig",,0.166666666666667,0.833333333333333,0,0.555555555555555,0.75,1,0.722222222222222,0.75,0.8125,40,5,10,0,40,1,6,420,480,1020,1380,75,180,0.5,0.5,0.5,1,1,1,3,28.6741000841906,10,2,0,37,TRUE
"7587",1,"Ja",0,"Sonstiges","Haushalt",0.0833333333333333,0.583333333333333,0.25,0.444444444444444,0.333333333333333,0.833333333333333,0.5,0.666666666666667,0.375,40,3,10,8,30,1,4,330,390,1020,1320,30,180,0,10,5,2,3,3,2,55.9327022457682,1,2,1,39,TRUE
"7590",1,"Ja",0,"Studium",,0.0416666666666667,0.166666666666667,0.05,0.277777777777778,0.875,0.933333333333333,0.805555555555555,0.666666666666667,0.25,40,9,12,12,14,0.666666666666667,2,420,600,1080,1410,60,180,5,6,0.5,5,2,1,1,20.6410809256864,1,3,0,31,TRUE
"7594",1,"Ja",0,"Studium",,0.125,0.583333333333333,0.45,0.666666666666667,0.875,0.866666666666667,0.583333333333333,0.75,0.5,40,13,7,12,15,1.5,6.5,450,495,1020,1410,120,120,4,4.5,1,3,1,1,4,23.8088393327721,1,3,0,32,TRUE
"7600",1,"Ja",0,"Angestellt",,0.166666666666667,0.5,0,0.0555555555555555,0.666666666666667,0.333333333333333,0.638888888888889,0.25,0.25,40,14,20,24,24,1,4.33333333333333,390,420,900,1320,60,420,10,10,0.1,4,1,1,1,30.2292312641601,8,2,0,18,TRUE
"7621",1,"Ja",0,"Angestellt",,0.5,0.583333333333333,0.45,0.722222222222222,0.5,1,0.777777777777778,0.666666666666667,0.625,36,5,35,0,6,0,3,480,570,1170,1470,60,180,3,6,10,1,4,2,4,32.1348145410241,9,4,0,12,TRUE
"7623",1,"Ja",0,"Studium",,0.0833333333333333,0.416666666666667,0.3,0.277777777777778,0.75,0.466666666666667,0.333333333333333,0.583333333333333,0.8125,40,5,6,1,15,2,2,450,615,960,1350,90,180,50,3,1,4,2,1,1,19.6253174260936,2,4,0,41,TRUE
"7659",1,"Ja",0,"Sonstiges","Lehramtsreferendariat",0.416666666666667,0.416666666666667,0.8,1,0.791666666666667,1,0.833333333333333,0.916666666666667,0.8125,40,12,30,6,10,1.66666666666667,8.66666666666667,330,450,1020,1350,60,300,35.4,3.4,2.5,2,3,1,4,30.1525698679644,3,1,0,10,TRUE
"7690",1,"Ja",0,"Sonstiges","Rentner",0.166666666666667,0.5,0.5,0.5,0.333333333333333,0.8,0.583333333333333,0.416666666666667,0.5625,0.4,3,30,12,8,0,0,390,480,1020,1320,60,60,0,4,0,5,1,1,4,65.1813521153754,2,2,0,19,TRUE
"7719",1,"Ja",0,"Angestellt",,0,0.25,0,0.333333333333333,0.208333333333333,0.166666666666667,0.111111111111111,0.333333333333333,0,40,6,40,0,45,0.166666666666667,0.333333333333333,450,510,990,1350,45,300,3,12,3,3,5,2,3,39.072670896733,8,2,0,6,TRUE
"7739",1,"Ja",0,"Angestellt",,0.125,0.5,0.3,0.888888888888889,0.708333333333333,0.866666666666667,0.5,0.583333333333333,0.5625,32,6,8,0,35,0.833333333333333,1.33333333333333,360,420,1020,1350,75,120,20,20,2,4,2,1,1,20.1208785943585,,4,0,38,TRUE
"7744",1,"Ja",0,"Studium",,0.25,0.583333333333333,0,0.722222222222222,0.625,0.933333333333333,0.916666666666667,0.416666666666667,0.9375,34,6,42,0,10,1,4,360,480,1170,1320,180,180,52,7,3,1,4,1,2,22.4261962942429,1,2,0,4,TRUE
"7748",1,"Ja",0,"Angestellt",,0,0.416666666666667,0.6,0.666666666666667,0.458333333333333,0.533333333333333,0.305555555555556,0.5,0.4375,40,4,30,8,14,5.75,10.75,390,495,990,1350,30,240,35,35,10,3,4,3,2,38.0541694901333,7,2,0,18,TRUE
"7749",1,"Ja",0,"Angestellt",,0.25,0.583333333333333,0.3,0.444444444444444,0.291666666666667,0.6,0.305555555555556,0.5,0.5625,40,6,40,3,10,1,4,300,360,1020,1320,90,360,1,5,1,2,2,2,2,58.5528792514562,10,2,0,6,TRUE
"7757",1,"Ja",0,"Studium",,0.583333333333333,0.666666666666667,0,0.444444444444444,0.25,0.566666666666667,0.527777777777778,0.583333333333333,0.875,20,20,10,5,120,2.66666666666667,8.5,450,615,975,1290,30,210,10,0.2,0.5,3,1,3,4,21.6048241921463,1,4,0,22,TRUE
"7799",1,"Ja",0,"Studium",,0,0.166666666666667,0.5,0.555555555555555,0.708333333333333,0.633333333333333,0.388888888888889,0.583333333333333,0.1875,28,6,35,2,3,0.666666666666667,1.16666666666667,420,480,1200,1380,90,30,5.4,4.2,0.5,2,1,2,4,20.495971854316,1,1,0,11,TRUE
"7840",1,"Ja",0,"Angestellt",,0,0.25,0.2,0.444444444444444,0.666666666666667,0.733333333333333,0.583333333333333,0.333333333333333,0.5625,40,6,10,3,2,1.66666666666667,5.16666666666667,390,450,1050,1350,45,330,30,5,1,2,2,1,3,31.6994873269129,10,1,0,36,TRUE
"7841",1,"Ja",0,"Studium",,0.583333333333333,0.166666666666667,0,0.277777777777778,0.25,0.933333333333333,0.833333333333333,0.5,0.625,32,14,40,84,12,0.333333333333333,3.83333333333333,540,600,660,1440,60,240,60,15,1,2,2,1,1,33.8158894433151,1,3,1,-2,FALSE
"7843",1,"Ja",0,"Angestellt",,0,0.333333333333333,0.9,0.611111111111111,0.916666666666667,0.833333333333333,0.611111111111111,0.583333333333333,0.3125,40,5,20,3,7,24,57,360,480,1020,1410,90,150,19,0.8,0.8,3,3,1,2,28.7534993873933,10,1,0,27,TRUE
"7867",1,"Ja",0,"Sonstiges","Erwerbsminderungsrente",0.5,0.166666666666667,0,0.166666666666667,0.791666666666667,0.6,0.555555555555555,0,0.1875,0,0,50,0,1,0,1.5,540,600,660,1380,0,1380,0,0.5,3,1,5,5,5,50.8155540497067,3,1,0,2,TRUE
"7893",1,"Ja",0,"Sonstiges","70% Anstellung und Teilzeitstudium",0.166666666666667,0.5,0,0.277777777777778,0.708333333333333,0.533333333333333,0.416666666666667,0.666666666666667,0.4375,40,4,12,0,10,0,1,340,450,1200,1380,120,180,1,1.5,0.7,2,3,3,4,25.8403663319575,7,2,0,36,TRUE
"7935",1,"Ja",0,"Studium",,0.25,0.583333333333333,0.1,0.5,0.708333333333333,0.766666666666667,0.527777777777778,0.583333333333333,0.8125,40,7,10,7,15,0.0833333333333333,7.08333333333333,450,540,1080,1410,90,180,3,3,1,2,2,2,4,29.0327659021061,2,3,0,35,TRUE
"8021",1,"Ja",0,"Sonstiges","Selbstständig und angestellt",0,0.583333333333333,0,0.444444444444444,0.791666666666667,0.533333333333333,0.305555555555556,0.25,0.4375,24,6,6,15,10,2.5,4.5,287,400,780,1320,30,240,4,0.5,5,1,4,3,5,32.0992217499333,3,1,0,40,TRUE
"8030",1,"Ja",0,"Angestellt",,0.375,0.416666666666667,0.55,0.722222222222222,0.625,0.533333333333333,0.444444444444444,0.333333333333333,0.5625,40,8,6,0,12,9.33333333333333,10,360,450,960,1320,30,285,,,,3,5,4,3,26.5467463397606,9,1,0,38,TRUE
"8031",1,"Ja",0,"Selbständig",,0.208333333333333,0.666666666666667,0.55,0.5,0.541666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.625,40,3,20,0,6,7.5,20.8333333333333,345,435,1080,1350,0,180,0,3,5,1,3,2,5,23.1681690931368,10,1,0,29,TRUE
"8059",1,"Ja",0,,"Rentnerin",,0.666666666666667,1,1,0.75,1,0.833333333333333,0.666666666666667,1,40,52,0,0,6,8,13,480,510,1020,1380,30,480,0,1,1,4,1,1,1,69.091083321355,2,2,0,0,TRUE
"8064",1,"Ja",0,"Angestellt",,0.25,0.5,0.75,0.611111111111111,0.75,1,0.5,0.5,1,30,6,20,30,5,3.08333333333333,7.08333333333333,420,510,1050,1380,30,120,2,3,3,4,1,1,3,28.7042170612675,3,8,1,26,TRUE
"8078",1,"Ja",0,"Angestellt",,0,0.416666666666667,0,0.0555555555555555,0.958333333333333,1,0.333333333333333,1,0.9375,40,6,35,0,80,0,0.25,420,480,1050,1440,10,390,0,5,1,4,2,2,1,41.6189244132323,10,2,0,11,TRUE
"8082",1,"Ja",0,"Angestellt",,0.0416666666666667,0.333333333333333,0.9,0.222222222222222,0.875,0.766666666666667,0.861111111111111,0.583333333333333,0.5625,40,8,10,0,90,1.5,8.5,375,465,1080,1380,60,180,30,10,1,5,1,1,1,32.4277705907719,10,2,0,34,TRUE
"8153",1,"Ja",0,"Sonstiges","Studium und Nebenjobs",0.166666666666667,0.5,0.4,0.666666666666667,0.916666666666667,0.933333333333333,0.722222222222222,0.666666666666667,0.75,40,8,10,2,24,1.66666666666667,8.66666666666667,420,495,1020,1320,105,240,3,1.5,1.5,2,3,1,4,20.7095286008611,1,2,0,34,TRUE
"8167",1,"Ja",0,"Angestellt",,0.583333333333333,0.416666666666667,0.5,0.555555555555555,0.708333333333333,0.933333333333333,0.416666666666667,0.5,0.5625,28,6,15,0,35,1,2,285,405,1050,1350,30,180,75,25,1,5,1,1,1,55.5576089858108,10,2,0,31,TRUE
"8170",1,"Ja",0,"Angestellt",,0.333333333333333,0.25,0.2,0.777777777777778,0.666666666666667,1,0.694444444444445,0.333333333333333,0.875,40,5,10,0,2,1,2.5,360,420,1140,1260,75,90,10,0,0.5,2,2,1,2,33.4928164164904,10,2,0,37,TRUE
"8232",1,"Ja",0,"Selbständig",,0.458333333333333,0.583333333333333,0.7,0.666666666666667,0.458333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.5625,40,20,14,0,50,2,2,345,480,780,1305,30,405,0,0,0,1,1,1,4,42.0077072082247,10,3,1,18,TRUE
"8233",1,"Ja",0,"Studium",,0.5,0.666666666666667,0.5,0.388888888888889,0.291666666666667,0.5,0.361111111111111,0.5,0.5625,40,24,8,0,14,4,12,410,495,975,1320,30,255,3,1.5,2,1,3,2,4,19.6581723101775,2,1,0,20,TRUE
"8234",1,"Ja",0,"Angestellt",,0.208333333333333,0.333333333333333,0.6,0.444444444444444,0.375,0.333333333333333,0.555555555555555,0.583333333333333,0.5625,40,6,4,0,5,3.25,3.25,330,450,960,1305,30,255,14,2,8,2,1,4,3,26.2620040110338,7,1,0,42,TRUE
"8235",1,"Ja",0,"Arbeitslos",,0.5,0.416666666666667,0.65,0.222222222222222,0.583333333333333,0.666666666666667,0.277777777777778,0.333333333333333,0.5,0,52,0,0,4,2,2,480,510,600,1425,825,825,0,3,1,1,4,3,5,28.2387728700795,2,1,0,0,TRUE
"8237",1,"Ja",0,"Angestellt",,0.625,0.666666666666667,0.65,0.666666666666667,0.583333333333333,0.633333333333333,0.583333333333333,0.5,0.625,40,6,14,0,10,2.25,8.25,360,480,1020,1365,30,290,6,2,0.5,3,1,2,5,38.4210490290697,4,1,0,32,TRUE
"8238",1,"Ja",0,"Angestellt",,0.625,0.5,0.5,0.5,0.5,0.666666666666667,0.444444444444444,0.166666666666667,0.625,40,10,8,6,4,2.5,2.5,330,465,930,1260,30,360,12,6,1,3,1,1,3,55.7629520113349,10,4,2,34,TRUE
"8239",1,"Ja",0,"Angestellt",,0.541666666666667,0.583333333333333,0.7,0.555555555555555,0.541666666666667,0.366666666666667,0.444444444444444,0.5,0.625,30,10,6,50,4,3,5.5,360,480,960,1340,30,360,4,2,6,2,3,1,5,39.4340746216555,4,2,1,36,TRUE
"8240",1,"Ja",0,"Sonstiges","Privatier",0.583333333333333,0.666666666666667,0.4,0.611111111111111,0.625,0.833333333333333,0.5,0.416666666666667,0.625,40,52,3,0,24,0,2.25,510,525,1140,1425,45,600,0,0,0.8,3,1,1,4,62.4379692943729,10,2,0,-3,FALSE
"8241",1,"Ja",0,"Ausbildung/Lehre",,0.708333333333333,0.416666666666667,0.45,0.722222222222222,0.75,0.5,0.5,0.333333333333333,0.5,40,6,2,0,12,2,18.6666666666667,360,450,885,1365,30,315,2,6,11,1,4,4,5,19.3214097483179,1,4,0,44,TRUE
"8242",1,"Ja",0,"Studium",,0.625,0.5,0.45,0.555555555555555,0.208333333333333,0.333333333333333,0.361111111111111,0.25,0.6875,40,3,10,0,20,3.66666666666667,3.66666666666667,430,495,780,1350,20,240,2.5,2,4,1,4,3,4,21.451501399755,2,4,0,39,TRUE
"8243",1,"Ja",0,"Selbständig",,0.458333333333333,0.75,0.65,0.555555555555555,0.75,0.533333333333333,0.472222222222222,0.416666666666667,0.625,40,4,4,10,8,1,2.25,375,510,1020,1365,60,180,24,6,2,1,1,1,5,48.0064614605365,10,4,2,44,TRUE
"8244",1,"Ja",0,"Angestellt",,0.625,0.666666666666667,0.55,0.611111111111111,0.541666666666667,0.666666666666667,0.583333333333333,0.666666666666667,0.625,20,12,4,40,9,0,1.3,350,495,780,1370,30,90,24,6,2,1,1,1,5,42.4704134924057,4,4,2,36,TRUE
"8247",1,"Ja",0,"Angestellt",,0.25,0.833333333333333,0.25,0.611111111111111,1,0.866666666666667,0.5,0.5,0.3125,24,6,5,10,40,2.16666666666667,9.16666666666667,420,480,930,1320,90,120,0,8,1,1,3,1,2,30.259348241237,7,2,0,41,TRUE
"8249",1,"Ja",0,"Studium",,0.375,0.666666666666667,0.4,0.611111111111111,0.458333333333333,0.333333333333333,0.444444444444444,0.333333333333333,0.5625,40,11,7,0,25,0,3,420,495,1065,1380,25,300,3.25,1.5,4,1,2,1,4,23.0887697899341,2,2,0,34,TRUE
"8250",1,"Ja",0,"Angestellt",,0.625,0.333333333333333,0.5,0.722222222222222,0.541666666666667,0.166666666666667,0.388888888888889,0.416666666666667,0.625,40,5,7,0,5,1.66666666666667,3.16666666666667,360,480,1020,1320,30,285,11,8,14,1,4,2,5,25.8567937739995,7,1,0,40,TRUE
"8251",1,"Ja",0,"Studium",,0.833333333333333,0.5,0.65,0.333333333333333,0.708333333333333,0.6,0.472222222222222,0.583333333333333,0.25,40,12,8,0,120,1.5,8.5,390,480,1020,1350,90,240,30,10,0,5,1,1,1,20.260511851715,1,3,1,32,TRUE
"8254",1,"Ja",0,"Angestellt",,0.5,0.583333333333333,0.65,0.5,0.458333333333333,0.5,0.194444444444444,0.583333333333333,0.4375,40,7,20,0,12,8,8,390,450,945,1410,30,435,1,1,3,1,4,3,5,22.0100344291806,10,2,0,25,TRUE
"8255",1,"Ja",0,"Selbständig",,0.75,0.5,0.65,0.555555555555555,0.583333333333333,0.5,0.527777777777778,0.5,0.5,40,4,5,0,5,1,2.5,370,540,1020,1305,60,240,23,1,6,1,2,4,5,38.7276946138524,10,2,0,43,TRUE
"8256",1,"Ja",0,"Arbeitslos",,0.5,0.583333333333333,0.65,0.444444444444444,0.458333333333333,0.666666666666667,0.416666666666667,0.25,0.375,40,52,0,0,4,2,4,480,481,720,1380,180,900,0,3,4.5,1,4,4,4,29.2764396257281,2,1,0,0,TRUE
"8257",1,"Ja",0,"Angestellt",,0.625,0.75,0.65,0.5,0.416666666666667,0.833333333333333,0.0833333333333333,0.833333333333333,0.5,40,8,0,0,8,2,3.66666666666667,330,402,903,1320,30,420,6.8,3.5,4.75,1,2,2,4,27.3681184418571,7,1,0,44,TRUE
"8303",1,"Ja",0,"Arbeitslos",,0.125,0.583333333333333,0,0.166666666666667,0.791666666666667,0.966666666666667,0.444444444444444,0.5,0.5625,0,6,37,0,10,0.333333333333333,1,390,480,960,1320,60,120,15,10,2,3,2,2,2,33.5201954865603,2,2,0,9,TRUE
"8329",1,"Ja",0,"Angestellt",,0.0833333333333333,0.416666666666667,0.25,0.333333333333333,0.5,0.733333333333333,0.444444444444444,0.5,0.5,30,6,26,14,14,0,1,405,480,840,1380,0,150,5,10,1,4,2,1,1,50.1721459030644,,3,1,20,TRUE
"8335",1,"Ja",0,"Angestellt",,0.166666666666667,1,0.8,0.722222222222222,0.333333333333333,1,0.611111111111111,1,0.625,40,5,25,35,2,3.5,4.08333333333333,310,390,900,1260,30,120,8,4,1,3,1,2,1,35.8008720233817,9,3,1,22,TRUE
"8337",1,"Ja",0,"Angestellt",,0.0833333333333333,0.333333333333333,0.55,0.611111111111111,0.791666666666667,0.766666666666667,0.944444444444445,0.5,0.8125,40,5,10,1,30,10.6666666666667,31.6666666666667,375,420,1005,1320,60,300,2.8,0.5,0.3,1,2,1,4,28.0936637987091,7,2,0,37,TRUE
"8339",1,"Ja",0,"Angestellt",,0.208333333333333,0.5,0.35,0.333333333333333,0.75,0.333333333333333,0.333333333333333,0.333333333333333,0.5,40,5,10,4,8,1.16666666666667,1.83333333333333,367,423,990,1396,30,225,2.8,0.5,2.4,2,2,2,4,36.926151803254,,1,0,37,TRUE
"8341",1,"Ja",0,"Angestellt",,0.5,0.333333333333333,0,0.111111111111111,0.625,0.733333333333333,0.388888888888889,0.5,0.75,40,5,30,0,1,2.5,7.5,300,420,900,1380,750,960,2,5,5,1,3,2,4,43.6148586213269,6,2,1,17,TRUE
"8345",1,"Ja",0,"Angestellt",,0,0.333333333333333,0.5,0.833333333333333,0.916666666666667,0.8,0.472222222222222,0.333333333333333,0.8125,40,5,40,50,40,0.833333333333333,3.83333333333333,360,450,900,1320,30,300,5,2,1,5,1,1,2,48.9756805410104,4,4,2,7,TRUE
