"participant_id","time_point","consent","attention_check_flag","occupational_status","occupational_status_other","automaticity","pa_specific_self_control","action_planning","intention","perceived_behavioral_control","attitude","subjective_norm","intrinsic_motivation","motivational_competence","workload_hours_per_week","holiday_weeks","stress_weeks","care_work_hours_per_week","social_hours_per_week","pa_mvpa_hours_per_week","pa_total_hours_per_week","wake_time_minutes","work_start_time_minutes","work_end_time_minutes","bed_time_minutes","break_duration_minutes","leisure_duration_minutes","workplace_distance_km","indoor_activity_distance_km","outdoor_activity_distance_km","residential_sealing","residential_nature_access","residential_active_routes","residence_size_ordinal","age_years","income_ordinal","household_size","household_minors","normal_weeks_raw","phase_weeks_compatible"
"6951",1,"Ja",0,"Studium",,0.208333333333333,0.75,0.8,1,0.833333333333333,1,0.194444444444444,1,0.9375,40,13,10,2,2,6.5,7.5,360,480,1020,1290,60,180,40,40,0,5,1,3,1,20.736907670931,1,3,0,29,TRUE
"6952",1,"Ja",0,"Studium",,0.541666666666667,0.416666666666667,0.35,0.666666666666667,0.666666666666667,0.533333333333333,0.694444444444445,0.416666666666667,0.4375,14.8,2,8,9,32,1.5,6.5,450,540,990,1320,90,330,14,12,0.5,3,1,1,1,21.5445902379926,2,4,0,42,TRUE
"6955",1,"Ja",0,"Sonstiges","Studierend und Teilzeit angestellt",0,0.25,0.15,0.5,0.75,0.733333333333333,0.638888888888889,0.333333333333333,0.25,40,5,6,2,3,0,1,420,735,1275,1380,30,300,30,2.3,0.7,3,2,2,1,24.2523802679042,2,3,0,41,TRUE
"6960",1,"Ja",0,"Angestellt",,0,0.333333333333333,0.3,0.611111111111111,0.666666666666667,0.8,0.527777777777778,0.5,0.5,16,28,6,0,30,1,2,540,600,1020,1440,90,180,20,2,1,5,1,1,1,21.7554090775307,,3,0,18,TRUE
"6970",1,"Ja",0,"Ausbildung/Lehre",,0.25,0.666666666666667,0.95,0.833333333333333,0.583333333333333,0.833333333333333,0.388888888888889,0.416666666666667,1,40,9,12,0,7,6.5,6.5,390,480,1080,1380,60,390,5,2,5,2,2,,4,33.1505780406168,4,1,0,31,TRUE
"6975",1,"Ja",0,"Studium",,0,0.333333333333333,0.05,0.388888888888889,0.75,0.5,0.333333333333333,0.5,0.375,32,12,10,2,16,0.166666666666667,2.66666666666667,450,600,1080,1440,105,300,35,20,7,4,2,1,1,22.5384504815294,1,1,0,30,TRUE
"6977",1,"Ja",0,"Studium",,0.333333333333333,0.75,0.55,0.5,0.708333333333333,0.966666666666667,0.5,0.916666666666667,0.625,40,5,4,0,10,2.66666666666667,23.6666666666667,390,500,960,1380,120,360,30,8,0.5,5,1,1,1,26.9875493678857,4,4,0,43,TRUE
"6984",1,"Ja",0,"Studium",,0.166666666666667,0.166666666666667,0.1,0.5,0.916666666666667,0.333333333333333,0.5,0.166666666666667,0.5625,40,18,8,0,72,1.5,19.5,480,615,960,1260,60,180,80,1,1,3,3,2,2,24.534384689624,4,1,0,26,TRUE
"6991",1,"Ja",0,"Studium",,0.166666666666667,0.583333333333333,0.5,0.666666666666667,0.916666666666667,0.666666666666667,0.75,0.5,0.9375,0,6,24,0,4,0.333333333333333,3.83333333333333,450,600,840,1380,120,240,30,1,0,4,1,1,3,22.0894337323833,1,4,0,22,TRUE
"6992",1,"Ja",0,"Studium",,0.25,0.583333333333333,0.65,0.444444444444444,0.875,0.966666666666667,0.444444444444444,0.666666666666667,0.5,40,6,30,0,28,3.25,10.25,390,495,1080,1380,180,180,36.1,4,0.5,3,1,3,1,26.2373628479709,2,6,1,16,TRUE
"6997",1,"Ja",0,"Angestellt",,0.375,0.5,0.25,0.444444444444444,0.166666666666667,0.866666666666667,0.416666666666667,0.666666666666667,0.1875,24,4,21,56,16,5,6,360,480,1050,1380,80,60,10,10,1,4,2,3,3,40.4717413773041,3,3,1,27,TRUE
"7001",1,"Ja",0,"Studium",,0.125,0.833333333333333,0.85,0.833333333333333,0.625,1,0.694444444444445,0.833333333333333,1,40,12,10,5,20,2,2.66666666666667,420,495,1020,1380,90,300,55,2.5,0.3,5,1,2,2,26.6507868060261,3,3,0,30,TRUE
"7013",1,"Ja",0,"Studium",,0.75,0.416666666666667,0.75,1,0.791666666666667,0.733333333333333,0.444444444444444,0.333333333333333,0.4375,40,5,10,0,5,1.5,3.5,390,420,1020,1320,60,120,34,0,1,1,2,1,2,24.0278718933311,4,4,0,37,TRUE
"7036",1,"Ja",0,"Studium",,0.458333333333333,0.666666666666667,0.8,0.888888888888889,0.833333333333333,0.966666666666667,0.361111111111111,0.75,0.8125,40,8,30,0,20,7.16666666666667,13,420,480,1080,1320,15,240,57,2,0,4,1,2,1,26.4728228505719,1,2,0,14,TRUE
"7037",1,"Ja",0,"Studium",,0.208333333333333,0.333333333333333,0.2,0.277777777777778,0.833333333333333,0.733333333333333,0.583333333333333,0.666666666666667,0.875,40,25,40,0,48,4,4.5,390,480,1080,1380,60,1380,5,10,1,3,1,1,4,27.1299205322491,2,3,0,-13,FALSE
"7047",1,"Ja",0,"Studium",,0.333333333333333,0.75,0.8,0.833333333333333,0.833333333333333,0.9,0.444444444444444,0.75,0.75,40,8,30,0,20,7.16666666666667,14.1666666666667,420,480,1080,1320,15,240,57,2,0,4,1,2,1,26.4728228505719,1,2,0,14,TRUE
"7048",1,"Ja",0,"Studium",,0.333333333333333,0.666666666666667,0.1,0.555555555555555,0.875,0.8,0.555555555555555,1,0.5625,40,13,28,0,10,5,12,390,480,1020,1380,900,180,26,3,1,3,2,1,2,20.9066579053642,1,3,0,11,TRUE
"7066",1,"Ja",0,"Studium",,0,0.333333333333333,0.2,0.833333333333333,1,0.866666666666667,0.555555555555555,0.583333333333333,0.875,32,20,10,2,8,1.75,8.75,450,600,960,1380,120,300,3.3,4.6,1.9,2,2,1,2,24.1182228245618,2,2,0,22,TRUE
"7067",1,"Ja",0,"Studium",,0.375,0.666666666666667,0.3,0.388888888888889,0.791666666666667,0.866666666666667,0.361111111111111,1,0.6875,40,10,10,0,20,2,4.66666666666667,540,615,840,1500,120,360,5,10,1,3,2,1,4,24.8081753903229,1,5,0,32,TRUE
"7068",1,"Ja",0,"Studium",,0.166666666666667,0.166666666666667,0,0.555555555555555,0.666666666666667,0.766666666666667,0.722222222222222,0.416666666666667,0.4375,24,26,40,0,120,20,50,465,495,990,1410,60,180,7,7,0.2,4,1,1,3,31.3764143000883,1,4,0,-14,FALSE
"7072",1,"Ja",0,"Angestellt",,0.125,0.333333333333333,0.7,0.611111111111111,1,0.6,0.777777777777778,0.25,0.625,32,5,14,0,70,2.5,4,405,495,990,1320,45,300,4,1,1,4,2,2,4,32.3620608226042,10,2,0,33,TRUE
