"participant_id","occupational_status","occupational_status_other","cluster","silhouette_width","is_medoid"
"8167","Angestellt",,3,0.502533216097396,FALSE
"8170","Angestellt",,3,0.521977474063817,FALSE
"8232","Selbständig",,1,0.0474996895691266,FALSE
"8233","Studium",,1,0.530179675956161,FALSE
"8234","Angestellt",,3,0.493231942702618,FALSE
"8235","Arbeitslos",,4,0.230850052916747,FALSE
"8237","Angestellt",,3,0.547069830068485,TRUE
"8238","Angestellt",,3,0.483647636668489,FALSE
"8239","Angestellt",,3,0.455353593079415,FALSE
"8240","Sonstiges","Privatier",2,0.430438588448353,FALSE
"8241","Ausbildung/Lehre",,3,-0.0326796169380267,FALSE
"8242","Studium",,1,0.54985871112576,FALSE
"8243","Selbständig",,3,-0.0511328711208651,FALSE
"8244","Angestellt",,3,0.400025347917275,FALSE
"8247","Angestellt",,3,0.443787630663391,FALSE
"8249","Studium",,1,0.55724782455803,FALSE
"8250","Angestellt",,3,0.509789361389571,FALSE
"8251","Studium",,1,0.459580339560438,FALSE
"8254","Angestellt",,3,0.51055145679925,FALSE
"8255","Selbständig",,3,-0.0484903040955051,FALSE
"8256","Arbeitslos",,1,-0.0901801144076285,FALSE
"8257","Angestellt",,3,0.457476037517803,FALSE
"8303","Arbeitslos",,4,0.483494593971755,TRUE
"8329","Angestellt",,3,0.546467204480757,FALSE
"8335","Angestellt",,3,0.534098995633774,FALSE
"8337","Angestellt",,3,0.446366251121339,FALSE
"8339","Angestellt",,3,0.527785016174483,FALSE
"8341","Angestellt",,3,0.540081109513883,FALSE
"8345","Angestellt",,3,0.454824798116884,FALSE
