"variant","k","average_silhouette","minimum_silhouette","negative_silhouette_n","negative_silhouette_proportion","minimum_cluster_size","maximum_cluster_size","cluster_sizes","pam_objective","silhouette_interpretation","meets_minimum_cluster_size"
"add_sociodemographics",8,0.301326926084464,-0.15633386351541,5,0.0359712230215827,6,47,"47/9/7/6/7/41/14/8",0.0989097134020732,"weak cluster structure",TRUE
"add_routine_and_poi",2,0.196925467639086,-0.0607673152616907,9,0.0633802816901408,63,79,"79/63",0.124956198410085,"no substantial cluster structure",TRUE
"add_routine_and_poi",3,0.235324298220203,-0.139687740334842,7,0.0492957746478873,22,66,"66/22/54",0.116984650395195,"no substantial cluster structure",TRUE
"add_routine_and_poi",4,0.254536673130225,-0.0784815807928718,6,0.0422535211267606,5,66,"66/20/51/5",0.111050340225377,"weak cluster structure",TRUE
"add_routine_and_poi",5,0.250713564659036,-0.120393824707342,7,0.0492957746478873,4,64,"64/10/49/15/4",0.106507247255713,"weak cluster structure",FALSE
"add_routine_and_poi",6,0.188562715511142,-0.118615388166511,10,0.0704225352112676,4,51,"51/14/9/49/15/4",0.103679482284854,"no substantial cluster structure",FALSE
"add_routine_and_poi",7,0.147940501735309,-0.215161965728799,19,0.133802816901408,4,51,"51/14/9/16/33/15/4",0.100895121154856,"no substantial cluster structure",FALSE
"add_routine_and_poi",8,0.129748196828876,-0.165888465210631,18,0.126760563380282,4,33,"33/11/23/8/33/15/15/4",0.098387921504126,"no substantial cluster structure",FALSE
"full_context",2,0.186263942326473,-0.0652701910979582,6,0.0441176470588235,66,70,"70/66",0.154475547500753,"no substantial cluster structure",TRUE
"full_context",3,0.133027905682518,-0.200746495024686,23,0.169117647058824,33,63,"63/33/40",0.145217980440155,"no substantial cluster structure",TRUE
"full_context",4,0.14254280389222,-0.148661414622246,12,0.0882352941176471,17,56,"56/33/17/30",0.13997951515617,"no substantial cluster structure",TRUE
"full_context",5,0.135539615066555,-0.195424059953936,17,0.125,15,44,"44/15/30/17/30",0.134776226983441,"no substantial cluster structure",TRUE
"full_context",6,0.139065297537233,-0.151884345393173,13,0.0955882352941176,5,44,"44/15/30/15/27/5",0.129980161290964,"no substantial cluster structure",TRUE
"full_context",7,0.0927548597868488,-0.219091019737385,22,0.161764705882353,5,30,"30/14/19/29/18/21/5",0.12604811085817,"no substantial cluster structure",TRUE
"full_context",8,0.0989072541096289,-0.175038811524453,22,0.161764705882353,4,30,"30/14/16/28/7/21/16/4",0.123040126605549,"no substantial cluster structure",FALSE
"phase_compatible",2,0.323107848500733,-0.0573648162097298,6,0.0444444444444444,55,80,"80/55",0.128371358370558,"weak cluster structure",TRUE
"phase_compatible",3,0.407908835954689,-0.13869085938283,8,0.0592592592592593,23,62,"62/23/50",0.110667897321359,"weak cluster structure",TRUE
"phase_compatible",4,0.415024339295569,-0.20167625254998,8,0.0592592592592593,11,61,"61/11/16/47",0.100045163275656,"weak cluster structure",TRUE
"phase_compatible",5,0.309881710364049,-0.197100732570523,8,0.0592592592592593,11,48,"35/25/11/48/16",0.0927607401861104,"weak cluster structure",TRUE
"phase_compatible",6,0.314766288471198,-0.291751399047128,14,0.103703703703704,10,47,"32/10/21/10/47/15",0.0874571823771504,"weak cluster structure",TRUE
"phase_compatible",7,0.347498310648446,-0.348693802556277,12,0.0888888888888889,8,45,"30/10/20/10/8/45/12",0.0817357492891707,"weak cluster structure",TRUE
"phase_compatible",8,0.363128284850942,-0.348693802556277,11,0.0814814814814815,4,45,"30/10/20/7/7/45/12/4",0.0764628242387346,"weak cluster structure",FALSE
