base_seed,n_agents,n_pairs,mean_similarity_percent,sd_similarity_percent,min_similarity_percent,max_similarity_percent,mean_difference_percent,sd_difference_percent,min_difference_percent,max_difference_percent
3263,10,45,87.15608465608466,3.3683181312633943,81.54761904761905,94.64285714285714,12.843915343915345,3.3683181312633943,5.35714285714286,18.452380952380953
3264,10,45,86.64021164021165,3.09054272363069,81.54761904761905,93.45238095238095,13.359788359788359,3.09054272363069,6.547619047619047,18.452380952380953
3265,10,45,86.32275132275133,3.123318113510826,79.16666666666666,92.26190476190477,13.677248677248677,3.123318113510826,7.738095238095233,20.833333333333336
3266,10,45,86.64021164021163,3.541665122838925,79.16666666666666,93.45238095238095,13.35978835978836,3.5416651228389235,6.547619047619047,20.833333333333336
3267,10,45,86.67989417989418,2.817988126530829,80.95238095238095,92.85714285714286,13.32010582010582,2.817988126530828,7.14285714285714,19.047619047619047
3268,10,45,86.4021164021164,3.4342150135716945,79.16666666666666,92.26190476190477,13.597883597883598,3.434215013571694,7.738095238095233,20.833333333333336
3269,10,45,86.53439153439153,3.466920871092769,80.35714285714286,93.45238095238095,13.465608465608465,3.466920871092768,6.547619047619047,19.64285714285714
3270,10,45,88.17460317460318,2.8272243064375995,82.73809523809523,94.04761904761905,11.825396825396826,2.827224306437599,5.952380952380953,17.261904761904766
3271,10,45,86.29629629629629,2.796109828445145,79.16666666666666,91.07142857142857,13.703703703703704,2.7961098284451436,8.92857142857143,20.833333333333336
3272,10,45,87.07671957671958,3.541813327233771,79.16666666666666,92.85714285714286,12.923280423280424,3.54181332723377,7.14285714285714,20.833333333333336
