base_seed,construct,n_agents,mean,population_sd,minimum,maximum
3271,intrinsic_motivation,10,0.709,0.0841748180871215,0.534,0.835
3272,intrinsic_motivation,10,0.7046,0.07708592608252171,0.547,0.812
3263,motivational_competence,10,0.8452,0.12613786108857244,0.666,1.0
3264,motivational_competence,10,0.8516,0.12324463477166055,0.654,1.0
3265,motivational_competence,10,0.798,0.10845275469069468,0.641,1.0
3266,motivational_competence,10,0.7641,0.13854851135974,0.474,0.927
3267,motivational_competence,10,0.8275,0.061142865487315866,0.69,0.934
3268,motivational_competence,10,0.8072,0.15192090047126497,0.575,1.0
3269,motivational_competence,10,0.8407,0.11812032001311207,0.573,1.0
3270,motivational_competence,10,0.8236,0.09629143264070798,0.702,1.0
3271,motivational_competence,10,0.8573,0.08298921616692133,0.743,0.968
3272,motivational_competence,10,0.8328,0.11069037898570949,0.636,1.0
